"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"48","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:14:16,FALSE,NA,"1295272720351916033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saprotrophs",245,TRUE,FALSE,NA,NA
"49","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:08:51,FALSE,NA,"1295271359648432128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wtafbecca",245,TRUE,FALSE,NA,NA
"50","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:08:40,FALSE,NA,"1295271311611027462",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimfederizo",245,TRUE,FALSE,NA,NA
"51","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 08:04:47,FALSE,NA,"1295270333734203393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jarojaenx",245,TRUE,FALSE,NA,NA
"52","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:59:14,FALSE,NA,"1295268937068736513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gslvrstrd",245,TRUE,FALSE,NA,NA
"53","RT @heyheyandre_art: auntie julie is the progressive aunt we all wish we had😭",FALSE,0,NA,2020-08-17 07:54:02,FALSE,NA,"1295267630949908481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","villejolouie",20,TRUE,FALSE,NA,NA
"54","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:52:29,FALSE,NA,"1295267240141557760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ArgnNicole",245,TRUE,FALSE,NA,NA
"55","She is the moment. 
She is the blueprint.

We all deserve an Aunt Julie!!! https://t.co/eas0RNOs73",FALSE,2,NA,2020-08-17 07:51:33,FALSE,NA,"1295267005117771778",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cravensomeshane",0,FALSE,FALSE,NA,NA
"56","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:50:08,FALSE,NA,"1295266647243014144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reallyahimsa",245,TRUE,FALSE,NA,NA
"57","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:48:23,FALSE,NA,"1295266207155679232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","atashaerin_",245,TRUE,FALSE,NA,NA
"58","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:45:28,FALSE,NA,"1295265472728821763",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nonoiakoooooo",245,TRUE,FALSE,NA,NA
"59","shet. bat ang description ko lang kay Aunt Julie ay s’ya yung nanreregalo ng mini food processor sa christmas famil… https://t.co/IVP80W6a25",FALSE,0,NA,2020-08-17 07:38:11,TRUE,NA,"1295263639281315840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HAHAHAstib",0,FALSE,FALSE,NA,NA
"60","Aunt Julie and her pearl earrings ✨☺
Luv it 😂💖 https://t.co/A4hI72bH7c",FALSE,0,NA,2020-08-17 07:37:18,FALSE,NA,"1295263417922543616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mariyel07",0,FALSE,FALSE,NA,NA
"61","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:36:13,FALSE,NA,"1295263145527664645",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luwiscruz",245,TRUE,FALSE,NA,NA
"62","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:32:55,FALSE,NA,"1295262316494090242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shashbern",245,TRUE,FALSE,NA,NA
"63","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:31:41,FALSE,NA,"1295262006115737600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bortkrot",245,TRUE,FALSE,NA,NA
"64","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:28:06,FALSE,NA,"1295261104004710400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jsscxg",245,TRUE,FALSE,NA,NA
"65","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:19:18,FALSE,NA,"1295258888409772033",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","radlylopezzz",245,TRUE,FALSE,NA,NA
"66","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:16:22,FALSE,NA,"1295258151093075969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Heymerald",245,TRUE,FALSE,NA,NA
"67","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:13:58,FALSE,NA,"1295257544970010624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mamijadeeeee",245,TRUE,FALSE,NA,NA
"68","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 07:09:25,FALSE,NA,"1295256402592702464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mojojooo__",245,TRUE,FALSE,NA,NA
"69","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 06:59:20,FALSE,NA,"1295253864736854016",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","joedivanmata",245,TRUE,FALSE,NA,NA
"70","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 06:56:35,FALSE,NA,"1295253171908927488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","catambaycamilla",245,TRUE,FALSE,NA,NA
"71","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 06:44:17,FALSE,NA,"1295250074746761217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimberlyE_",245,TRUE,FALSE,NA,NA
"72","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 06:40:43,FALSE,NA,"1295249180005240833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adreanojolly",245,TRUE,FALSE,NA,NA
"73","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 06:34:58,FALSE,NA,"1295247731242364928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justdants",245,TRUE,FALSE,NA,NA
"74","RT @jadmalala: Hmmm. Aunt Julie looks like someone from Assumption Antipolo, UPd Bio grad &amp; went straight to UST Faculty of Medicine &amp; Surg…",FALSE,0,NA,2020-08-17 06:29:49,FALSE,NA,"1295246434501943296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samumuwela",245,TRUE,FALSE,NA,NA
